"filename", "language", "JavaScript", "JSON with Comments", "JSON", "TypeScript", "Markdown", "YAML", "comment", "blank", "total"
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\dto\update-centrossalud.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\entities\centrossalud-foto.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 7, 22
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\entities\centrossalud-has-especialidad.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 4, 19
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\entities\centrossalud.entity.ts", "TypeScript", 0, 0, 0, 83, 0, 0, 2, 16, 101
"e:\Fernando Herrera\Nest\distritosiete\src\centrossaluds\entities\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Fernando Herrera\Nest\distritosiete\src\centrosturisticos\centrosturisticos.controller.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 6, 42
"e:\Fernando Herrera\Nest\distritosiete\src\centrosturisticos\centrosturisticos.module.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 2, 15
"e:\Fernando Herrera\Nest\distritosiete\src\centrosturisticos\centrosturisticos.service.ts", "TypeScript", 0, 0, 0, 97, 0, 0, 2, 60, 159
"e:\Fernando Herrera\Nest\distritosiete\src\centrosturisticos\dto\create-centrosturistico.dto.ts", "TypeScript", 0, 0, 0, 48, 0, 0, 0, 10, 58
"e:\Fernando Herrera\Nest\distritosiete\src\centrosturisticos\dto\update-centrosturistico.dto.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\centrosturisticos\entities\centrosturistico.entity.ts", "TypeScript", 0, 0, 0, 63, 0, 0, 1, 14, 78
"e:\Fernando Herrera\Nest\distritosiete\src\centrosturisticos\entities\centroturistico-foto.entity.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 7, 22
"e:\Fernando Herrera\Nest\distritosiete\src\cloudinary\cloudinary.module.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 1, 9
"e:\Fernando Herrera\Nest\distritosiete\src\cloudinary\cloudinary.provider.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 0, 12
"e:\Fernando Herrera\Nest\distritosiete\src\cloudinary\cloudinary.service.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"e:\Fernando Herrera\Nest\distritosiete\src\cloudinary\cloudinary.spec.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 5, 19
"e:\Fernando Herrera\Nest\distritosiete\src\cloudinary\cloudinary.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\cloudinary\constants.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 0, 1
"e:\Fernando Herrera\Nest\distritosiete\src\common\common.module.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 2, 5
"e:\Fernando Herrera\Nest\distritosiete\src\common\dtos\pagination.dto.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 6, 27
"e:\Fernando Herrera\Nest\distritosiete\src\denuncias\denuncias.controller.ts", "TypeScript", 0, 0, 0, 25, 0, 0, 0, 7, 32
"e:\Fernando Herrera\Nest\distritosiete\src\denuncias\denuncias.module.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 4, 22
"e:\Fernando Herrera\Nest\distritosiete\src\denuncias\denuncias.service.ts", "TypeScript", 0, 0, 0, 71, 0, 0, 1, 39, 111
"e:\Fernando Herrera\Nest\distritosiete\src\denuncias\dto\create-denuncia.dto.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 0, 6, 30
